Scenario,Year,Synchrony,mean,lo,hi
Status Quo,2026,Asynchronous (Current),5909.82246735,5587.9521122999995,6275.8265934
Status Quo,2026,Synchronous (Hypothetical),5909.82246735,5587.9521122999995,6275.8265934
Status Quo,2027,Asynchronous (Current),5836.596768599151,5425.628032830517,6277.521046256558
Status Quo,2027,Synchronous (Hypothetical),5848.447141583525,5401.815517125718,6333.862469205699
Status Quo,2028,Asynchronous (Current),5793.969744750924,5336.981815581041,6272.009355872621
Status Quo,2028,Synchronous (Hypothetical),5786.461080480824,5241.867712632224,6321.314965433302
Status Quo,2029,Asynchronous (Current),5777.730475705517,5285.024438035598,6293.1228448719385
Status Quo,2029,Synchronous (Hypothetical),5767.973685194838,5220.6570595482835,6318.461553509223
Status Quo,2030,Asynchronous (Current),5772.6921906372845,5276.666805557824,6311.74415231987
Status Quo,2030,Synchronous (Hypothetical),5789.179276386301,5155.180431578535,6379.475223209254
Status Quo,2031,Asynchronous (Current),5779.600550215257,5251.0721095251065,6333.6275648554765
Status Quo,2031,Synchronous (Hypothetical),5801.346637802013,5150.969143604937,6422.197404898836
Status Quo,2032,Asynchronous (Current),5787.791084057324,5214.4201954102755,6397.74625196803
Status Quo,2032,Synchronous (Hypothetical),5797.104584120156,5135.694772164992,6426.616116922004
Status Quo,2033,Asynchronous (Current),5800.732378625124,5175.851237321094,6485.345531939417
Status Quo,2033,Synchronous (Hypothetical),5807.853782511936,5049.167096172367,6518.341811224301
Status Quo,2034,Asynchronous (Current),5827.112783918959,5149.792390389017,6575.970894915912
Status Quo,2034,Synchronous (Hypothetical),5838.483592759262,5074.830124815345,6669.406126977366
Status Quo,2035,Asynchronous (Current),5855.3969478317595,5109.058168561172,6619.428379225434
Status Quo,2035,Synchronous (Hypothetical),5867.510254969835,5052.476871467055,6874.7101768836255
Cool (MOCI -1),2026,Asynchronous (Current),5909.82246735,5587.9521122999995,6275.8265934
Cool (MOCI -1),2026,Synchronous (Hypothetical),5909.82246735,5587.9521122999995,6275.8265934
Cool (MOCI -1),2027,Asynchronous (Current),6044.639825091496,5613.4966316515,6480.820062684428
Cool (MOCI -1),2027,Synchronous (Hypothetical),6050.256419949744,5573.330414603395,6560.3671720975235
Cool (MOCI -1),2028,Asynchronous (Current),6124.024733205015,5633.244147606018,6626.133311549849
Cool (MOCI -1),2028,Synchronous (Hypothetical),6113.862606555928,5576.600909608894,6725.681856876525
Cool (MOCI -1),2029,Asynchronous (Current),6206.029989503913,5671.108931374349,6767.325340025538
Cool (MOCI -1),2029,Synchronous (Hypothetical),6203.212620085935,5577.703469517993,6866.726080051678
Cool (MOCI -1),2030,Asynchronous (Current),6316.849332788696,5713.12089952004,6923.136797900118
Cool (MOCI -1),2030,Synchronous (Hypothetical),6329.157581423031,5613.159554464419,7098.482917381751
Cool (MOCI -1),2031,Asynchronous (Current),6431.564557150609,5793.729585360072,7151.439553203336
Cool (MOCI -1),2031,Synchronous (Hypothetical),6458.46963986393,5693.4114716457225,7230.138776176451
Cool (MOCI -1),2032,Asynchronous (Current),6555.3812277759025,5833.586004327207,7388.093563960094
Cool (MOCI -1),2032,Synchronous (Hypothetical),6570.524920000147,5705.060537293622,7462.112508133206
Cool (MOCI -1),2033,Asynchronous (Current),6693.673713190572,5859.294230833801,7644.720015439667
Cool (MOCI -1),2033,Synchronous (Hypothetical),6699.148389008698,5757.588652714252,7675.807113639204
Cool (MOCI -1),2034,Asynchronous (Current),6840.113080176549,5892.985616709883,7917.070884987029
Cool (MOCI -1),2034,Synchronous (Hypothetical),6863.242712513294,5862.246502564003,7965.628393128766
Cool (MOCI -1),2035,Asynchronous (Current),6992.217394427691,5947.932516404419,8156.082283259222
Cool (MOCI -1),2035,Synchronous (Hypothetical),7020.27391501602,5862.857966080863,8296.256328398347
Warm (MOCI +1),2026,Asynchronous (Current),5909.82246735,5587.9521122999995,6275.8265934
Warm (MOCI +1),2026,Synchronous (Hypothetical),5909.82246735,5587.9521122999995,6275.8265934
Warm (MOCI +1),2027,Asynchronous (Current),5637.100677343792,5236.289585279692,6060.598758904153
Warm (MOCI +1),2027,Synchronous (Hypothetical),5647.6486141794985,5203.836438879945,6153.145732849438
Warm (MOCI +1),2028,Asynchronous (Current),5481.829531145596,5041.933955554871,5946.015355633675
Warm (MOCI +1),2028,Synchronous (Hypothetical),5480.6387233666455,4961.025841649037,6006.455288910213
Warm (MOCI +1),2029,Asynchronous (Current),5361.905648238149,4860.993088866476,5873.742234161729
Warm (MOCI +1),2029,Synchronous (Hypothetical),5362.807002629602,4829.963118133757,5947.689429865109
Warm (MOCI +1),2030,Asynchronous (Current),5258.334329098267,4730.26071038025,5818.4271153624595
Warm (MOCI +1),2030,Synchronous (Hypothetical),5269.024932496204,4704.366993724544,5886.523616719813
Warm (MOCI +1),2031,Asynchronous (Current),5172.044067766042,4592.816885291978,5835.620353457378
Warm (MOCI +1),2031,Synchronous (Hypothetical),5170.703154852441,4511.925693150761,5909.67246880389
Warm (MOCI +1),2032,Asynchronous (Current),5092.182431536294,4446.697255416109,5797.611846695726
Warm (MOCI +1),2032,Synchronous (Hypothetical),5100.259488597047,4413.995037273643,5850.098010195362
Warm (MOCI +1),2033,Asynchronous (Current),5010.557859113172,4303.557116942897,5817.7660995519
Warm (MOCI +1),2033,Synchronous (Hypothetical),5009.911549461229,4291.3374346246355,5809.706462945451
Warm (MOCI +1),2034,Asynchronous (Current),4939.669356395443,4172.880641610442,5793.688393124094
Warm (MOCI +1),2034,Synchronous (Hypothetical),4939.553110126926,4128.86103523034,5756.3020128065355
Warm (MOCI +1),2035,Asynchronous (Current),4876.871359571572,4038.469558315992,5764.146739130018
Warm (MOCI +1),2035,Synchronous (Hypothetical),4872.030280122035,4029.649590283252,5811.717644043755
Warm + High Coyote,2026,Asynchronous (Current),5909.82246735,5587.9521122999995,6275.8265934
Warm + High Coyote,2026,Synchronous (Hypothetical),5909.82246735,5587.9521122999995,6275.8265934
Warm + High Coyote,2027,Asynchronous (Current),5572.097484917556,5174.841297018866,5986.367594174041
Warm + High Coyote,2027,Synchronous (Hypothetical),5578.150778108443,5117.568793392734,6094.080220988233
Warm + High Coyote,2028,Asynchronous (Current),5395.422116060106,4958.391672372759,5864.457158315504
Warm + High Coyote,2028,Synchronous (Hypothetical),5371.227096343047,4865.062819806029,5877.354021601787
Warm + High Coyote,2029,Asynchronous (Current),5265.5646249303,4773.560751262629,5791.95023852948
Warm + High Coyote,2029,Synchronous (Hypothetical),5256.540938117344,4708.492772105048,5806.226348395915
Warm + High Coyote,2030,Asynchronous (Current),5144.133448457901,4598.469600147779,5725.43267068821
Warm + High Coyote,2030,Synchronous (Hypothetical),5129.76481848394,4529.216167532821,5720.107683743575
Warm + High Coyote,2031,Asynchronous (Current),5032.654247954034,4455.537651313876,5675.567005487958
Warm + High Coyote,2031,Synchronous (Hypothetical),5015.8721969517355,4374.5886286029045,5675.826732411089
Warm + High Coyote,2032,Asynchronous (Current),4934.682094298975,4311.748229510212,5610.661958304934
Warm + High Coyote,2032,Synchronous (Hypothetical),4923.835991524558,4246.26855986645,5623.583803175621
Warm + High Coyote,2033,Asynchronous (Current),4835.609907663689,4164.257752981393,5568.644128220301
Warm + High Coyote,2033,Synchronous (Hypothetical),4850.452061283096,4129.751697085399,5569.807803081904
Warm + High Coyote,2034,Asynchronous (Current),4757.192909177171,4038.7373465824753,5603.507031769992
Warm + High Coyote,2034,Synchronous (Hypothetical),4754.144773365322,3986.4988796053585,5588.004852495549
Warm + High Coyote,2035,Asynchronous (Current),4687.883055179743,3927.691271928208,5562.7278598111625
Warm + High Coyote,2035,Synchronous (Hypothetical),4675.645087092659,3866.8373801732423,5601.698393652581
