Scenario,CV_Async,CV_Sync,CV_Ratio,Buffering_Pct
Status Quo,0.15232027027786157,0.15626583134944233,0.9747509673899365,2.5249032610063504
Cool (MOCI -1),0.17717546732846826,0.181718466551703,0.974999793309712,2.500020669028802
Warm (MOCI +1),0.16050576042416925,0.16472385492351507,0.9743929347616083,2.5607065238391735
Warm + High Coyote,0.1568503873496337,0.16215909166628217,0.9672623701693297,3.27376298306703
